scenario_id,time_scenario,hazard_scenario,p,selected_shelter_id
Evening_baseline_p15,Evening,baseline,15,SCH_0582
Evening_moderate_p5,Evening,moderate,5,SCH_0116
Evening_moderate_p5,Evening,moderate,5,SCH_0132
Evening_moderate_p5,Evening,moderate,5,SCH_0357
Evening_moderate_p5,Evening,moderate,5,SCH_0533
Evening_moderate_p5,Evening,moderate,5,SCH_0582
Evening_moderate_p10,Evening,moderate,10,EC_001
Evening_moderate_p10,Evening,moderate,10,EC_025
Evening_moderate_p10,Evening,moderate,10,SCH_0042
Evening_moderate_p10,Evening,moderate,10,SCH_0045
Evening_moderate_p10,Evening,moderate,10,SCH_0093
Evening_moderate_p10,Evening,moderate,10,SCH_0167
Evening_moderate_p10,Evening,moderate,10,SCH_0268
Evening_moderate_p10,Evening,moderate,10,SCH_0396
Evening_moderate_p10,Evening,moderate,10,SCH_0403
Evening_moderate_p10,Evening,moderate,10,SCH_0579
Evening_moderate_p15,Evening,moderate,15,SCH_0012
Evening_moderate_p15,Evening,moderate,15,SCH_0036
Evening_moderate_p15,Evening,moderate,15,SCH_0045
Evening_moderate_p15,Evening,moderate,15,SCH_0090
Evening_moderate_p15,Evening,moderate,15,SCH_0121
Evening_moderate_p15,Evening,moderate,15,SCH_0167
Evening_moderate_p15,Evening,moderate,15,SCH_0251
Evening_moderate_p15,Evening,moderate,15,SCH_0306
Evening_moderate_p15,Evening,moderate,15,SCH_0308
Evening_moderate_p15,Evening,moderate,15,SCH_0374
Evening_moderate_p15,Evening,moderate,15,SCH_0396
Evening_moderate_p15,Evening,moderate,15,SCH_0466
Evening_moderate_p15,Evening,moderate,15,SCH_0567
Evening_moderate_p15,Evening,moderate,15,SCH_0579
Evening_moderate_p15,Evening,moderate,15,SCH_0582
Evening_strict_p5,Evening,strict,5,SCH_0116
Evening_strict_p5,Evening,strict,5,SCH_0132
Evening_strict_p5,Evening,strict,5,SCH_0357
Evening_strict_p5,Evening,strict,5,SCH_0533
Evening_strict_p5,Evening,strict,5,SCH_0582
Evening_strict_p10,Evening,strict,10,EC_001
Evening_strict_p10,Evening,strict,10,EC_025
Evening_strict_p10,Evening,strict,10,SCH_0042
Evening_strict_p10,Evening,strict,10,SCH_0045
Evening_strict_p10,Evening,strict,10,SCH_0093
Evening_strict_p10,Evening,strict,10,SCH_0167
Evening_strict_p10,Evening,strict,10,SCH_0268
Evening_strict_p10,Evening,strict,10,SCH_0396
Evening_strict_p10,Evening,strict,10,SCH_0403
Evening_strict_p10,Evening,strict,10,SCH_0579
Evening_strict_p15,Evening,strict,15,SCH_0012
Evening_strict_p15,Evening,strict,15,SCH_0036
Evening_strict_p15,Evening,strict,15,SCH_0045
Evening_strict_p15,Evening,strict,15,SCH_0090
Evening_strict_p15,Evening,strict,15,SCH_0121
Evening_strict_p15,Evening,strict,15,SCH_0167
Evening_strict_p15,Evening,strict,15,SCH_0251
Evening_strict_p15,Evening,strict,15,SCH_0306
Evening_strict_p15,Evening,strict,15,SCH_0308
Evening_strict_p15,Evening,strict,15,SCH_0374
Evening_strict_p15,Evening,strict,15,SCH_0396
Evening_strict_p15,Evening,strict,15,SCH_0466
Evening_strict_p15,Evening,strict,15,SCH_0567
Evening_strict_p15,Evening,strict,15,SCH_0579
Evening_strict_p15,Evening,strict,15,SCH_0582
Night_baseline_p5,Night,baseline,5,SCH_0045
Night_baseline_p5,Night,baseline,5,SCH_0116
Night_baseline_p5,Night,baseline,5,SCH_0342
Night_baseline_p5,Night,baseline,5,SCH_0403
Night_baseline_p5,Night,baseline,5,SCH_0445
Night_baseline_p10,Night,baseline,10,SCH_0036
Night_baseline_p10,Night,baseline,10,SCH_0045
Night_baseline_p10,Night,baseline,10,SCH_0090
Night_baseline_p10,Night,baseline,10,SCH_0093
Night_baseline_p10,Night,baseline,10,SCH_0167
Night_baseline_p10,Night,baseline,10,SCH_0268
Night_baseline_p10,Night,baseline,10,SCH_0403
Night_baseline_p10,Night,baseline,10,SCH_0405
Night_baseline_p10,Night,baseline,10,SCH_0466
Night_baseline_p10,Night,baseline,10,SCH_0579
Night_baseline_p15,Night,baseline,15,SCH_0012
Night_baseline_p15,Night,baseline,15,SCH_0036
Night_baseline_p15,Night,baseline,15,SCH_0045
Night_baseline_p15,Night,baseline,15,SCH_0090
Night_baseline_p15,Night,baseline,15,SCH_0121
Night_baseline_p15,Night,baseline,15,SCH_0167
Night_baseline_p15,Night,baseline,15,SCH_0251
Night_baseline_p15,Night,baseline,15,SCH_0306
Night_baseline_p15,Night,baseline,15,SCH_0308
Night_baseline_p15,Night,baseline,15,SCH_0334
Night_baseline_p15,Night,baseline,15,SCH_0380
Night_baseline_p15,Night,baseline,15,SCH_0405
Night_baseline_p15,Night,baseline,15,SCH_0466
Night_baseline_p15,Night,baseline,15,SCH_0567
Night_baseline_p15,Night,baseline,15,SCH_0582
Night_moderate_p5,Night,moderate,5,SCH_0045
Night_moderate_p5,Night,moderate,5,SCH_0116
Night_moderate_p5,Night,moderate,5,SCH_0342
Night_moderate_p5,Night,moderate,5,SCH_0403
Night_moderate_p5,Night,moderate,5,SCH_0445
Night_moderate_p10,Night,moderate,10,SCH_0036
Night_moderate_p10,Night,moderate,10,SCH_0045
Night_moderate_p10,Night,moderate,10,SCH_0090
Night_moderate_p10,Night,moderate,10,SCH_0093
Night_moderate_p10,Night,moderate,10,SCH_0167
Night_moderate_p10,Night,moderate,10,SCH_0268
Night_moderate_p10,Night,moderate,10,SCH_0396
Night_moderate_p10,Night,moderate,10,SCH_0403
Night_moderate_p10,Night,moderate,10,SCH_0466
Night_moderate_p10,Night,moderate,10,SCH_0579
Night_moderate_p15,Night,moderate,15,SCH_0012
Night_moderate_p15,Night,moderate,15,SCH_0036
Night_moderate_p15,Night,moderate,15,SCH_0045
Night_moderate_p15,Night,moderate,15,SCH_0090
Night_moderate_p15,Night,moderate,15,SCH_0121
Night_moderate_p15,Night,moderate,15,SCH_0167
Night_moderate_p15,Night,moderate,15,SCH_0251
Night_moderate_p15,Night,moderate,15,SCH_0306
Night_moderate_p15,Night,moderate,15,SCH_0308
Night_moderate_p15,Night,moderate,15,SCH_0374
Night_moderate_p15,Night,moderate,15,SCH_0375
Night_moderate_p15,Night,moderate,15,SCH_0396
Night_moderate_p15,Night,moderate,15,SCH_0466
Night_moderate_p15,Night,moderate,15,SCH_0567
Night_moderate_p15,Night,moderate,15,SCH_0582
Night_strict_p5,Night,strict,5,SCH_0045
Night_strict_p5,Night,strict,5,SCH_0116
Night_strict_p5,Night,strict,5,SCH_0342
Night_strict_p5,Night,strict,5,SCH_0403
Night_strict_p5,Night,strict,5,SCH_0445
Night_strict_p10,Night,strict,10,SCH_0036
Night_strict_p10,Night,strict,10,SCH_0045
Night_strict_p10,Night,strict,10,SCH_0090
Night_strict_p10,Night,strict,10,SCH_0093
Night_strict_p10,Night,strict,10,SCH_0167
Night_strict_p10,Night,strict,10,SCH_0268
Night_strict_p10,Night,strict,10,SCH_0396
Night_strict_p10,Night,strict,10,SCH_0403
Night_strict_p10,Night,strict,10,SCH_0466
Night_strict_p10,Night,strict,10,SCH_0579
Night_strict_p15,Night,strict,15,SCH_0012
Night_strict_p15,Night,strict,15,SCH_0036
Night_strict_p15,Night,strict,15,SCH_0045
Night_strict_p15,Night,strict,15,SCH_0090
Night_strict_p15,Night,strict,15,SCH_0121
Night_strict_p15,Night,strict,15,SCH_0167
Night_strict_p15,Night,strict,15,SCH_0251
Night_strict_p15,Night,strict,15,SCH_0306
Night_strict_p15,Night,strict,15,SCH_0308
Night_strict_p15,Night,strict,15,SCH_0374
Night_strict_p15,Night,strict,15,SCH_0396
Night_strict_p15,Night,strict,15,SCH_0466
Night_strict_p15,Night,strict,15,SCH_0567
Night_strict_p15,Night,strict,15,SCH_0579
Night_strict_p15,Night,strict,15,SCH_0582
