"path","bytes","sha256"
"code/llm_for_shelter/llm_experiment/src/validator.py","2344","81544630d3a1821cf26d50ccb837291927e1f7f0016b3c4accbf9bfdf5717c02"
"code/llm_for_shelter/llm_experiment/validate_request.py","2039","12187c66e4dadf0247cb8f5e576ca33541bd89a8596a0490702833b122220aab"
"code/llm_for_shelter/main.py","1184","08d8186597f0d2bd97ef5c9e1720389cf98d2010afe7883f4d48e0f808efaf62"
"code/llm_for_shelter/metrics.py","1477","26b5f72f25d6ae9447f49d51dc0805a9d242512599bda4236e08f246709b9467"
"code/llm_for_shelter/model.py","7679","26fdd103fdeef5f06e654f90e4bbfe6500d68088dae8cbd3f1cd80119b574ce3"
"code/llm_for_shelter/qa.py","2449","8b3cfdece3bbaec9a35db1519bc57c7685cd93dcafcf30a302f2646ba508f5e6"
"DATA_DICTIONARY.md","2802","9c19bc44274e462de15fc808ce5d4ceddbafabae28adc4a35055286c95263304"
"DATA_SOURCES.md","3049","62070a9fe6daff44f766502be63041289dd30cc3c2114f2e344b054bc7cc435a"
"data/processed/01_Shelter_Candidates_Hazard_438.csv","75964","9125922ffef3a4e51937f5b412b67899f34f0428d105def901b7ae7153d4f290"
"data/processed/02_Demand_Points_Morning_Peak.csv","9334","51e4ea720f72530630c013cea5248c0c31da792fa09f5ceb253403f2c98a8a93"
"data/processed/03_Demand_Points_Evening_Peak.csv","9334","fdf67055dbbe1d11d368a3af3a68fc99a500e4073980be81f50d5332f67793e6"
"data/processed/04_Demand_Points_Night.csv","8907","f348e47fcf808080de362757c9402c52cd59bc9418b6690256d9f8388b2a0b21"
"data/processed/od/OD.csv","1272032","1212472ae61c2acc3ed57b6c58f2361d2e0adffac02deb3d151b35790b6f6e03"
"LICENSE_PENDING.md","406","e9bfe7a247fec8840a16426ec8961c8c41bacf341c06efc7cf5d65b88d08dcf0"
"llm_experiment_final/evaluation/evaluate_final.py","15849","ccfec9dede26da67de23224362a6775874477e04d4f9a5d11723f1694f48236a"
"llm_experiment_final/inputs/frozen_request_ids.txt","300","32a3c928d99b984660b1e8d039d1fb42ba92445d89a055caf3f630019842063c"
"llm_experiment_final/inputs/input_hashes.txt","191","ba4d19f9499bed20434414abbfccaf59f6096c23d6446d63607291d5cd42b591"
"llm_experiment_final/inputs/L2_predictions_frozen.csv","34190","a486345ad69d0aa8fbe17e67cb3b7ce91e1f36c147317df2be401ca159e9aa3a"
"llm_experiment_final/results/benchmark_summary.csv","144","8bb26fb02990afe80eadec3211e4ae13cdfc3fe4f94ebca838b2e67f1b2f69c5"
"llm_experiment_final/results/E5_final_error_cases.csv","7419","28d5f0f1115fbf98e0b9bbd7607182d6c169c89d4af5088bdf9ee3622d34f4e5"
"llm_experiment_final/results/E5_final_metrics.csv","1131","12a0d1b2b0312382583d6e71a7461d2bb72364cb472ce6e39027eaa0eb266d4e"
"llm_experiment_final/results/E5_final_predictions.csv","13003","366e738a5637b2f2cb2f39875d150f7b74256c2acda35424830c4f5910b26859"
"llm_experiment_final/results/end_to_end_results.csv","9910","611e38bdf11c42c30938091b5c97a847ec532e16a90f7512ac6f113b57337719"
"llm_experiment_final/results/false_acceptance_reduction.csv","81","84448ccef0cff2110959489467b63781fe2b36308fe1dee433b19ceafb98d2ef"
"llm_experiment_final/results/L1_predictions.csv","140784","b37825517f6ce5abbe611b86eb9fea02ed45d4393aa728c769b736bef39ad584"
"llm_experiment_final/results/L2_predictions.csv","46451","1ce561a1af29364970deb80c5cfc34ec2cbe6a64037fc896e74a5f3099dcbb21"
"llm_experiment_final/results/metrics_by_type.csv","509","b267dc14e5da26d54f7325392db8fcb6524e56328cc5375478649ec38dce18df"
"llm_experiment_final/results/paired_L2_L3.csv","1680","607541ebe983d2ff1eb350bbb4a2159a37947414a091e98db42e7619595e03a6"
"llm_experiment_final/results/validation_analysis.csv","13531","0f9b9aa2b28961452eea9748c2fddb9ad6369601e9b4aa18e8e7ba644c8fbd5f"
"llm_experiment_final/validation/run_gate.py","1940","ad307ea5f14cf3196ae774a9bfa685419cc9a708a80ad52ddec71a14296075b6"
"llm_experiment_final/validator/validator_rules_hash.txt","237","bac0e23bfb5e47d15ef962467764da32d2427892090c47655186a43b7217f807"
"llm_experiment_final/validator/validator_rules.yaml","2742","2451290fe08e6b39787efe2c6b087884ea5bd0356c19ad02324713a83847fd8b"
"llm_experiment_final/validator/validator.py","8541","7988b7bdf274a440e6da7c8dc54c8ea81f0dce9f46c3ad7ad200121e21486c43"
"OPEN_SOURCE_AUDIT.md","3237","dfa6fefeb9f226bbb7e6d27d2d6536d654bc83577f0138ad5c5f79e3d37b894b"
"README.md","6628","26400424ab01e42ce14c75cddb053dcfd2e766bf730c3c620fdb65a026b2db71"
"requirements.txt","99","7bb6ce72d1998f94af14d975cfd8f44d50a6ceec8bf4259c4ff8d24ccc7afe6f"
"results/all_assignments.csv","179259","35a34f7b48cdc7a597fd5e3cb435ade33ad050fa0cd282ba0f2ebbe3ece3f0e9"
"results/all_scenario_summaries.csv","5011","924dc87966660dcd5917f6d9e87508d0c52d5be8adb9704b14a5a72f3d17be6d"
"results/all_selected_shelters.csv","13016","c240fb288ca6dad6f4be9f252b3557eb5c8ee0905947c6435ad3923138aafa54"
"results/E1_temporal/E1_assignments.csv","20377","a5d5fe6eefec0ebd5f21cad58b2d27ff48433405e8350868511b35eeb78e45d4"
"results/E1_temporal/E1_selected_shelters.csv","1554","cdb8461254c0753bda5b7429171bc67045a509fd7c9c0fda43c94c67f3ea00f6"
"results/E1_temporal/E1_TCC_matrix.csv","195","230758b53a453faa39ed92995e8aaa6a9d5662924dbf5e690b1ed73f501865fa"
"results/E1_temporal/experiment_E1_temporal.csv","814","7e3c63b3eb0de113ec82e9aef731bde6a9ff5993685f5d257437265cb3055b43"
"results/E2_hazard/E2_HCC.csv","698","3a31d7fabf8c8d48e66781360a275b2a27b3d56717005ac35dbfe9e292e0f6e9"
"results/E2_hazard/E2_selected_shelters.csv","4406","2196fe4db0f3d7232936c8ec1217c830994908911c805948cdd277113c38be6e"
"results/E2_hazard/experiment_E2_hazard.csv","2204","b05ba98dade70f69ec5da8364508f948a76c935557982fdec99a46bce68e06eb"
"results/E3_p_sensitivity/experiment_E3_p_sensitivity.csv","7852","fa0e6755b6b9b013b38ab4fbae7e3297bf05d3201c7bf284e3baa01e118cfa1e"
"results/E4_cross_time/E4_cross_time_cost_matrix.csv","3324","d7fb95c81d4f2ca64ff71d4f04ad864a0050a011d7195e7b2a4d7ec3096dd950"
"results/E4_cross_time/E4_TMP_matrix.csv","2302","8ca957f45db7e5eb2039d4c0d21dbd76d0ffdde322a09cd288c88c4dcd09887e"
"results/llm_experiment_E5/benchmark/benchmark_description.md","935","7de95b67adf1a15d95cbbefabd29dbe9ed60596fe32e97a959927f6a87d216de"
"results/llm_experiment_E5/benchmark/request_gold.csv","9726","a09d1132edb05818b38114331da5ff1650c4baed3d2e200b4de9a6a403068a3e"
"results/llm_experiment_E5/inference_configuration.json","175","7604e2df31dd868399be05f9745d4912af94e6ab074a0195c4d9e2606f79ab13"
"results/llm_experiment_E5/results/llm_predictions.csv","236853","e32c7f08bf7b1a25c9b169767b5822ccc0ad900cd1a0339546dcc6e6753be52b"
"results/qa/optimization_QA_report.md","461","32c7ba664330b2f82240243d679cc731caf71b3bb27e32906745df2493f9a3d3"
"results/qa/scenario_QA_checks.csv","22752","272437d08ccb0f9a0baa84dc584cf9b73647c42ada33b45dcbbc417af4faf84e"
"results/schema_mapping.json","1798","3a39ec729a617948e6296ebdb3f876b0cb9ea0bb586c090bcd33a3359b0698d8"
"results/solver_verification/solver_verification.csv","517","8b607d778fbf99ba9ed27bf95b75c801ee02a13d4e2d9fbcb5c633276980af11"
"scripts/verify_release.py","7624","3a20422795e6c586b19c25ab1808def18948f4c5db64207ddc341b870d7908fa"
